Job Title,Salary Estimate,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
Data Scientist - Machine Learning/Artificial Intelligence,₹300K - ₹2M ,-1,Partnersoft Technologies Private Limited,Chennai,-1,-1,-1,-1,-1,-1
Machine Learning Engineer,₹471K - ₹675K ,3.9,Infosys Limited,Bangalore,10000+ Employees,1981,Company - Public,Information Technology Support Services,Information Technology,$10+ billion (USD)
Data Scientist (Devops / Machine Learning/ Data Science),₹563K - ₹784K ,3.8,LTIMindtree,Bangalore,10000+ Employees,1997,Company - Public,Information Technology Support Services,Information Technology,Unknown / Non-Applicable
Junior Data Scientist - Artificial Intelligence Innovation,-1,4.1,Accenture,Bangalore,10000+ Employees,1989,Company - Public,Business Consulting,Management & Consulting,$10+ billion (USD)
Faculty- Artificial Intelligence,₹30K ,-1,United Group of Initiatives,Eranakulam,-1,-1,-1,-1,-1,-1
Computer Vision Engineer (Intern),-1,4.6,Stylumia Intelligence Technology,Bangalore,1 to 50 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable
Data Scientist (Computer Vision),-1,4.3,Sciffer,India,1 to 50 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable
Machine learning Engineer,₹281K - ₹402K ,4.2,Anblicks,Hyderābād,201 to 500 Employees,2004,Company - Private,Information Technology Support Services,Information Technology,$5 to $25 million (USD)
Python AI / ML (Online Trainer Part Time),₹10K - ₹25K ,2.9,Nestsoft technologies,Remote,51 to 200 Employees,-1,Company - Public,-1,-1,Unknown / Non-Applicable
AI/ML - Data Scientist,₹275K - ₹800K ,3.6,Neilsoft,Pune,501 to 1000 Employees,1993,Company - Private,Architectural & Engineering Services,"Construction, Repair & Maintenance Services",$100 to $500 million (USD)
Machine Learning Engineer,-1,-1,DentalDost,Pune,-1,-1,-1,-1,-1,-1
Data Scientist - Python,₹449K - ₹2M ,3.3,V R Della IT Services Private Limited,Tiruchchirāppalli,51 to 200 Employees,2012,Company - Private,HR Consulting,Human Resources & Staffing,$5 to $25 million (USD)
AI/Machine Learning Engineer,₹240K - ₹600K ,1.9,AssetOne,Pune,Unknown,-1,Company - Public,-1,-1,Unknown / Non-Applicable
Computer Vision Intern / Engineer,-1,2.9,TensorGo Technologies,Hyderābād,1 to 50 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable
Data Science with Python and Machine learning trainer,₹25K - ₹30K ,-1,L&D Edutech,Mumbai,-1,-1,-1,-1,-1,-1
Data Scientist,₹795K - ₹875K ,3.7,Faurecia,Pune,10000+ Employees,1997,Company - Public,Transportation Equipment Manufacturing,Manufacturing,$10+ billion (USD)
Computer Vision Machine Learning Engineer,-1,4.4,Apple,Bangalore,10000+ Employees,1976,Company - Public,Computer Hardware Development,Information Technology,$10+ billion (USD)
Machine Learning Trainer,₹361K - ₹2M ,-1,EVOLVE ROBOTICS,Cochin,-1,-1,-1,-1,-1,-1
Artificial Intelligence & Machine Learning,₹30K - ₹50K ,-1,Creative Buffer,India,Unknown,-1,Company - Public,-1,-1,Unknown / Non-Applicable
Deep Learning Engineer,₹293K - ₹407K ,4.2,Aptagrim Consulting,Hyderābād,1 to 50 Employees,2012,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable
AI-ML Engineer,₹800K - ₹1M ,3.4,Larsen & Toubro Limited,Vadodara,10000+ Employees,2014,Company - Public,Information Technology Support Services,Information Technology,$500 million to $1 billion (USD)
Junior Data Scientist,-1,4.0,Risk Edge Solutions,Hyderābād,1 to 50 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable
Computer Vision/Artificial Intelligence Architect,₹500K - ₹1M ,3.4,Larsen & Toubro Limited,Chennai,10000+ Employees,2014,Company - Public,Information Technology Support Services,Information Technology,$500 million to $1 billion (USD)
Data Scientist,₹2M ,-1,Amiscent Careers,Pune,Unknown,-1,Company - Public,-1,-1,Unknown / Non-Applicable
Jr Data Analyst | Jr Data Scientist,₹347K - ₹654K ,4.9,AIBridge ML,Hyderābād,1 to 50 Employees,2019,Company - Private,Computer Hardware Development,Information Technology,Unknown / Non-Applicable
Machine Learning Algorithm Engineer,₹396K - ₹700K ,4.1,Ceremorphic,Hyderābād,201 to 500 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable
Senior Machine Learning Engineer,-1,3.9,Baker Hughes,Mumbai,10000+ Employees,1907,Company - Public,Energy & Utilities,"Energy, Mining & Utilities",$5 to $10 billion (USD)
Computer Vision Engineer,-1,4.5,Wobot Intelligence,Remote,51 to 200 Employees,2017,Company - Private,Computer Hardware Development,Information Technology,Unknown / Non-Applicable
Data Scientist - Machine Learning/Artificial Intelligence,₹300K - ₹2M ,-1,Partnersoft Technologies Private Limited,Chennai,-1,-1,-1,-1,-1,-1
Junior Data Scientist - Artificial Intelligence Innovation,-1,4.1,Accenture,Bangalore,10000+ Employees,1989,Company - Public,Business Consulting,Management & Consulting,$10+ billion (USD)
Computer Vision Engineer (Intern),-1,4.6,Stylumia Intelligence Technology,Bangalore,1 to 50 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable
Faculty- Artificial Intelligence,₹30K ,-1,United Group of Initiatives,Eranakulam,-1,-1,-1,-1,-1,-1
Data Science with Python and Machine learning trainer,₹25K - ₹30K ,-1,L&D Edutech,Mumbai,-1,-1,-1,-1,-1,-1
Python AI / ML (Online Trainer Part Time),₹10K - ₹25K ,2.9,Nestsoft technologies,Remote,51 to 200 Employees,-1,Company - Public,-1,-1,Unknown / Non-Applicable
Machine learning Engineer,₹281K - ₹402K ,4.2,Anblicks,Hyderābād,201 to 500 Employees,2004,Company - Private,Information Technology Support Services,Information Technology,$5 to $25 million (USD)
Data Scientist (Computer Vision),-1,4.3,Sciffer,India,1 to 50 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable
Computer Vision Machine Learning Engineer,-1,4.4,Apple,Bangalore,10000+ Employees,1976,Company - Public,Computer Hardware Development,Information Technology,$10+ billion (USD)
Machine Learning Trainer,₹361K - ₹2M ,-1,EVOLVE ROBOTICS,Cochin,-1,-1,-1,-1,-1,-1
Machine Learning Engineer,-1,-1,DentalDost,Pune,-1,-1,-1,-1,-1,-1
Computer Vision Intern / Engineer,-1,2.9,TensorGo Technologies,Hyderābād,1 to 50 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable
Computer Vision/Artificial Intelligence Architect,₹500K - ₹1M ,3.4,Larsen & Toubro Limited,Chennai,10000+ Employees,2014,Company - Public,Information Technology Support Services,Information Technology,$500 million to $1 billion (USD)
Data Scientist,₹795K - ₹875K ,3.7,Faurecia,Pune,10000+ Employees,1997,Company - Public,Transportation Equipment Manufacturing,Manufacturing,$10+ billion (USD)
Data Analyst,₹40K - ₹65K ,-1,ExpertSource Global Services Pvt. Ltd.,Navi Mumbai,-1,-1,-1,-1,-1,-1
AI/Machine Learning Engineer,₹240K - ₹600K ,1.9,AssetOne,Pune,Unknown,-1,Company - Public,-1,-1,Unknown / Non-Applicable
Computer Vision/Data Science Engineer,₹800K - ₹1M ,-1,Livello India Private Limited,Hyderābād,-1,-1,-1,-1,-1,-1
Junior Data Scientist,-1,4.0,Risk Edge Solutions,Hyderābād,1 to 50 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable
Jr Data Analyst | Jr Data Scientist,₹347K - ₹654K ,4.9,AIBridge ML,Hyderābād,1 to 50 Employees,2019,Company - Private,Computer Hardware Development,Information Technology,Unknown / Non-Applicable
Research Engineer - Deep Learning,₹766K - ₹930K ,4.1,Siemens,Bangalore,10000+ Employees,1847,Company - Public,Electronics Manufacturing,Manufacturing,$10+ billion (USD)
